	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
0	코스	446	481	927	51.89%	48.11%
1	추천	401	301	702	42.88%	57.12%
2	맛집	120	287	407	70.52%	29.48%
3	여수	0	349	349	100.00%	0.00%
4	주달	0	304	304	100.00%	0.00%
5	계획	154	61	215	28.37%	71.63%
6	숙소	139	60	199	30.15%	69.85%
7	일정	118	80	198	40.40%	59.60%
8	한옥마을	0	193	193	100.00%	0.00%
9	질문	114	78	192	40.62%	59.38%
10	부탁	105	75	180	41.67%	58.33%
11	티비	0	177	177	100.00%	0.00%
12	국내	5	167	172	97.09%	2.91%
13	답변	106	55	161	34.16%	65.84%
14	제주	5	152	157	96.82%	3.18%
15	전문	10	127	137	92.70%	7.30%
16	제주도	0	127	127	100.00%	0.00%
17	언서	0	127	127	100.00%	0.00%
18	봉이	0	127	127	100.00%	0.00%
19	친구	44	78	122	63.93%	36.07%
20	한옥	5	117	122	95.90%	4.10%
21	마을	0	117	117	100.00%	0.00%
22	가족	95	20	115	17.39%	82.61%
23	안녕	57	53	110	48.18%	51.82%
24	참고	56	45	101	44.55%	55.45%
25	황리	95	0	95	0.00%	100.00%
26	당일치기	25	70	95	73.68%	26.32%
27	관련	66	28	94	29.79%	70.21%
28	이번	30	55	85	64.71%	35.29%
29	택시	55	30	85	35.29%	64.71%
30	정도	54	30	84	35.71%	64.29%
31	예정	40	35	75	46.67%	53.33%
32	공원	15	55	70	78.57%	21.43%
33	준비	45	25	70	35.71%	64.29%
34	근처	30	36	66	54.55%	45.45%
35	버스	23	40	63	63.49%	36.51%
36	시간	23	39	62	62.90%	37.10%
37	아이	45	15	60	25.00%	75.00%
38	엄마	55	5	60	8.33%	91.67%
39	이용	25	35	60	58.33%	41.67%
40	터미널	25	30	55	54.55%	45.45%
41	가능	24	30	54	55.56%	44.44%
42	장소	25	28	53	52.83%	47.17%
43	추억	30	22	52	42.31%	57.69%
44	날씨	52	0	52	0.00%	100.00%
45	아래	32	20	52	38.46%	61.54%
46	덕진	0	50	50	100.00%	0.00%
47	문화	30	20	50	40.00%	60.00%
48	역사	45	5	50	10.00%	90.00%
49	관광지	25	25	50	50.00%	50.00%
50	방문	36	10	46	21.74%	78.26%
51	시작	15	30	45	66.67%	33.33%
52	관광	15	30	45	66.67%	33.33%
53	도움	20	25	45	55.56%	44.44%
54	남자	15	30	45	66.67%	33.33%
55	혼자	20	25	45	55.56%	44.44%
56	식당	40	5	45	11.11%	88.89%
57	동선	40	5	45	11.11%	88.89%
58	운전	45	0	45	0.00%	100.00%
59	이동	14	30	44	68.18%	31.82%
60	갈만	15	29	44	65.91%	34.09%
61	사람	10	32	42	76.19%	23.81%
62	카페	25	17	42	40.48%	59.52%
63	당일	21	20	41	48.78%	51.22%
64	투어	30	11	41	26.83%	73.17%
65	여자	25	15	40	37.50%	62.50%
66	시장	10	30	40	75.00%	25.00%
67	렌트	15	25	40	62.50%	37.50%
68	주말	20	20	40	50.00%	50.00%
69	대중교통	15	24	39	61.54%	38.46%
70	월지	39	0	39	0.00%	100.00%
71	펜션	23	15	38	39.47%	60.53%
72	동물원	0	38	38	100.00%	0.00%
73	첨성대	37	0	37	0.00%	100.00%
74	불국사	36	0	36	0.00%	100.00%
75	아빠	31	5	36	13.89%	86.11%
76	도착	25	10	35	28.57%	71.43%
77	부모	10	25	35	71.43%	28.57%
78	동궁	34	0	34	0.00%	100.00%
79	체험	10	24	34	70.59%	29.41%
80	어머니	29	5	34	14.71%	85.29%
81	감사	0	33	33	100.00%	0.00%
82	비용	0	33	33	100.00%	0.00%
83	가격	10	22	32	68.75%	31.25%
84	박물관	15	16	31	51.61%	48.39%
85	포항	15	15	30	50.00%	50.00%
86	거리	10	20	30	66.67%	33.33%
87	기차	10	20	30	66.67%	33.33%
88	정보	10	20	30	66.67%	33.33%
89	전라도	0	30	30	100.00%	0.00%
90	수목원	0	30	30	100.00%	0.00%
91	아들	30	0	30	0.00%	100.00%
92	플레이스	30	0	30	0.00%	100.00%
93	호텔	7	22	29	75.86%	24.14%
94	생각	16	10	26	38.46%	61.54%
95	서울	11	15	26	57.69%	42.31%
96	소개	26	0	26	0.00%	100.00%
97	학년	15	10	25	40.00%	60.00%
98	처음	15	10	25	40.00%	60.00%
99	가요	18	7	25	28.00%	72.00%
100	첨부	20	5	25	20.00%	80.00%
101	명소	15	10	25	40.00%	60.00%
102	포함	10	15	25	60.00%	40.00%
103	도시	20	5	25	20.00%	80.00%
104	도보	20	5	25	20.00%	80.00%
105	고등학생	20	5	25	20.00%	80.00%
106	하루	20	5	25	20.00%	80.00%
107	남부	0	25	25	100.00%	0.00%
108	지도	25	0	25	0.00%	100.00%
109	국립	15	10	25	40.00%	60.00%
110	볼거리	15	10	25	40.00%	60.00%
111	루트	25	0	25	0.00%	100.00%
112	강아지	0	25	25	100.00%	0.00%
113	위주	14	10	24	41.67%	58.33%
114	야경	18	5	23	21.74%	78.26%
115	특별	23	0	23	0.00%	100.00%
116	추석	8	15	23	65.22%	34.78%
117	얼마	5	17	22	77.27%	22.73%
118	석굴암	21	0	21	0.00%	100.00%
119	확인	16	5	21	23.81%	76.19%
120	월드	20	0	20	0.00%	100.00%
121	실패	20	0	20	0.00%	100.00%
122	동반	10	10	20	50.00%	50.00%
123	렌트카	10	10	20	50.00%	50.00%
124	시내	20	0	20	0.00%	100.00%
125	산책	0	20	20	100.00%	0.00%
126	완산구	0	20	20	100.00%	0.00%
127	동안	20	0	20	0.00%	100.00%
128	반려	10	10	20	50.00%	50.00%
129	향교	0	20	20	100.00%	0.00%
130	다음	10	10	20	50.00%	50.00%
131	교통편	20	0	20	0.00%	100.00%
132	한복	5	15	20	75.00%	25.00%
133	경험	15	5	20	25.00%	75.00%
134	초등	10	10	20	50.00%	50.00%
135	요소	5	15	20	75.00%	25.00%
136	필요	5	15	20	75.00%	25.00%
137	시절	15	5	20	25.00%	75.00%
138	예약	15	5	20	25.00%	75.00%
139	게스트	15	5	20	25.00%	75.00%
140	채택	15	5	20	25.00%	75.00%
141	평일	15	5	20	25.00%	75.00%
142	하우스	15	5	20	25.00%	75.00%
143	경비	5	15	20	75.00%	25.00%
144	대부분	5	15	20	75.00%	25.00%
145	한국	10	10	20	50.00%	50.00%
146	마음	18	0	18	0.00%	100.00%
147	선택	15	3	18	16.67%	83.33%
148	토요일	5	11	16	68.75%	31.25%
149	부산	11	5	16	31.25%	68.75%
150	블로그	11	5	16	31.25%	68.75%
151	대릉원	16	0	16	0.00%	100.00%
152	음식	0	16	16	100.00%	0.00%
153	저녁	5	11	16	68.75%	31.25%
154	예상	5	10	15	66.67%	33.33%
155	점심	5	10	15	66.67%	33.33%
156	전통	5	10	15	66.67%	33.33%
157	의견	10	5	15	33.33%	66.67%
158	인근	10	5	15	33.33%	66.67%
159	바닷가	5	10	15	66.67%	33.33%
160	조언	10	5	15	33.33%	66.67%
161	자차	5	10	15	66.67%	33.33%
162	교통비	5	10	15	66.67%	33.33%
163	친정	10	5	15	33.33%	66.67%
164	할머니	15	0	15	0.00%	100.00%
165	오후	10	5	15	33.33%	66.67%
166	신라	15	0	15	0.00%	100.00%
167	가을	10	5	15	33.33%	66.67%
168	오전	10	5	15	33.33%	66.67%
169	천마총	15	0	15	0.00%	100.00%
170	주요	15	0	15	0.00%	100.00%
171	주신	15	0	15	0.00%	100.00%
172	여유	15	0	15	0.00%	100.00%
173	빵집	15	0	15	0.00%	100.00%
174	기본	5	10	15	66.67%	33.33%
175	빌라	15	0	15	0.00%	100.00%
176	보문	15	0	15	0.00%	100.00%
177	리스트	15	0	15	0.00%	100.00%
178	남산	15	0	15	0.00%	100.00%
179	경북	15	0	15	0.00%	100.00%
180	가이드	15	0	15	0.00%	100.00%
181	검색	10	5	15	33.33%	66.67%
182	최소한	5	10	15	66.67%	33.33%
183	덕진구	0	15	15	100.00%	0.00%
184	벽화	0	15	15	100.00%	0.00%
185	경기전	0	15	15	100.00%	0.00%
186	실내	10	5	15	33.33%	66.67%
187	고등학교	0	15	15	100.00%	0.00%
188	교통	0	15	15	100.00%	0.00%
189	진행	0	15	15	100.00%	0.00%
190	블로거	10	5	15	33.33%	66.67%
191	분위기	10	5	15	33.33%	66.67%
192	구경	0	15	15	100.00%	0.00%
193	말씀	10	5	15	33.33%	66.67%
194	맞춤	10	5	15	33.33%	66.67%
195	자동차	0	15	15	100.00%	0.00%
196	방법	0	15	15	100.00%	0.00%
197	경주역	14	0	14	0.00%	100.00%
198	바다	4	10	14	71.43%	28.57%
199	내공	5	8	13	61.54%	38.46%
200	관람	13	0	13	0.00%	100.00%
201	고민	13	0	13	0.00%	100.00%
202	중순	7	5	12	41.67%	58.33%
203	문자	7	5	12	41.67%	58.33%
204	남편	12	0	12	0.00%	100.00%
205	정리	2	10	12	83.33%	16.67%
206	예보	11	0	11	0.00%	100.00%
207	시외버스	5	6	11	54.55%	45.45%
208	금요일	0	11	11	100.00%	0.00%
209	필수	10	1	11	9.09%	90.91%
210	쭈니	6	5	11	45.45%	54.55%
